Feld_Nr;Feld_Name;FT1;FT1h;FT2;FT3;FT3s;FT3LV;FT3L4L;FT3Stern;FT4;FT4Stern;FT6;FT7S;FT7a;FT7Stern;FT8S;FT8a;FT8d;FT8Stern;FT9a;FT9w;FT10a;FT10w;FT11;FT12Stern;FT12S;FT12a;FT12e;FT12Sternh;FT12w;FT13a;FT13e;FT13eh;FT13h;FT13Stern;FT14;FT14Stern;FT15;FT16;FT16Stern;FT17;FT18;FT18M;FT18w;FT18v;FT18Stern;FT19;FT19L;FT19P;FT19a;FT19f;FT20;FT20E;FT21;FT21L;FT21Stern;FT22;FT22A;FT22C;FT22Stern;FT23;FT23H;FT23Stern;FT24Stern;FT25;FT25O;FT25_A;FT25a;FT25b;FT25e;FT25f;FT25Q;FT25au;FT25Stern;FT26;FT26h;FT26w;FT27;FT27O;FT27h;FT27Stern;FT28;FT29;FT29A;FT29C;FT29h;FT30;FT31;FT32C;FT32S;FT32V;FT32Stern;FT33V;FT33a;FT33b;FT33m;FT34a;FT34b;FT34Stern;FT35;FT35M;FT35Q;FT35S;FT35A;FT36;FT37;FT38;FT38S;FT38Stern;FT39;FT39Stern;FT40P;FT40PBl;FT40Stern;FT41;FT41Stern;FT42C;FT42Q;FT42V;FT42r;FT42B;FT42t;FT43;FT43S;FT43Stern;FT44;FT45;FT46;FT46M;FT46t;FT46Stern;FT47;FT47D;FT47M;FT47H;FT47Stern;FT48;FT49;FT49Stern;FT50;FT50P;FT50Stern;FT51;FT51C;FT52;FT52T;FT53;FT53Stern;FT53A;FT54;FT54A;FT55;FT55Stern;FT56;FT57Bl;FT57C;FT57M;FT57S;FT57V;FT57VM;FT58;FT58Bl;FT58C;FT58L;FT59;FT59A;FT59C;FT59E;FT59H;FT59J;FT59L;FT59R;FT59S;FT59V;FT59Stern;FT60;FT60A;FT60E;FT60Stern;FT61;FT62;FT65;FT65Stern;FT66;FT66PM;FT67;FT68;FT68Stern;FT69;FT70;FT71;FT72;FT91;FT92a;FT92z;FT93;FTAV
1011;HS_SM-1;1;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;2;2;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0
1035;HS_SA-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;2;1;2;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1
1005;HS_C-2b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0
1028;HS_HM-2b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;2;0;0;2;0;2;0;1;1;1;1;1;1;1;1;0;2;0;0;0;1;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;2;1;0;0;1;0;0;0;1;0;0;0;0;0;2
1029;HS_HM-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;1;0;1;1;1;1;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;2
1030;HS_HM-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;1;1;1;0;2;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
1006;HS_C-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;2;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
1007;HS_C-5a;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0
74;HUF_mu-f_hydro;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;2;2;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
75;HUF_mu-l_xero;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;HUF_mu-f_xero;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;2;0;2;1;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
73;HUF_mu-f_norm;0;0;0;2;0;0;1;0;2;0;2;2;1;2;2;1;0;2;2;2;2;2;2;0;1;2;1;0;1;1;2;0;2;0;2;0;2;1;0;1;1;1;1;1;1;2;2;2;0;2;1;2;2;0;2;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;2;1;0;2;0;1;0;0;2;1;1;1;0;0;1;0;1;1;0;2;0;2;1;0;0;1;0;1;0;1;0;0;0;1;0;0;1;2;2;1;0;0;1;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;0;1;2;1;2;0;2;0;1;2;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;2;2;1;1;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1
76;HUF_mu-l_norm;0;0;0;2;0;0;1;0;1;0;0;1;1;0;1;1;0;0;1;1;1;1;1;0;2;1;1;0;1;1;0;0;1;0;1;0;2;0;0;1;2;1;1;1;2;0;2;2;0;0;1;1;1;0;2;0;0;1;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;1;0;1;1;1;1;2;1;0;1;0;1;2;0;1;0;1;2;0;0;1;0;1;0;1;0;1;0;1;0;0;1;2;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;1;1;1;2;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
60;HUF_rh_xero;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;HUF_mo-rh_xero;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
66;HUF_mo-typ_xero;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;0;1;0;0;0;2;0;0;0;2;1;2;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1;2;0;2;0;1;0;0;0;0;0;0;0;0;0
69;HUF_mo-mull_xero;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;2;0;1;1;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;0;1;0;0;0;2;0;0;0;2;1;2;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;2;2;1;1;2;0;2;0;2;0;0;0;0;0;0;0;0;0
62;HUF_rh_hydro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
61;HUF_rh_norm;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;1;2;0;0;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;2;0;1;1;0;2;2;0;0;1;0;0;0;0;0;0;0;0;2;1;2;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
